,Q
0,"[9.10380191e-15 1.11970769e-02 2.23941539e-02 3.35912308e-02
 4.47883077e-02 5.59853846e-02 6.71824616e-02 7.83795385e-02
 8.95766154e-02 1.00773692e-01 1.11970769e-01 1.23167846e-01
 1.34364923e-01 1.45562000e-01 1.56759077e-01 1.67956154e-01
 1.79153231e-01 1.90350308e-01 2.01547385e-01 2.12744462e-01
 2.23941539e-01 2.35138615e-01 2.46335692e-01 2.57532769e-01
 2.68729846e-01 2.79926923e-01 2.91124000e-01 3.02321077e-01
 3.13518154e-01 3.24715231e-01 3.35912308e-01 3.47109385e-01
 3.58306462e-01 3.69503539e-01 3.80700615e-01 3.91897692e-01
 4.03094769e-01 4.14291846e-01 4.25488923e-01 4.36686000e-01
 4.47883077e-01 4.59080154e-01 4.70277231e-01 4.81474308e-01
 4.92671385e-01 5.03868462e-01 5.15065539e-01 5.26262616e-01
 5.37459692e-01 5.48656769e-01 5.59853846e-01 5.71050923e-01
 5.82248000e-01 5.93445077e-01 6.04642154e-01 6.15839231e-01
 6.27036308e-01 6.38233385e-01 6.49430462e-01 6.60627539e-01
 6.71824616e-01 6.83021692e-01 6.94218769e-01 7.05415846e-01
 7.16612923e-01 7.27810000e-01 7.39007077e-01 7.50204154e-01
 7.61401231e-01 7.72598308e-01 7.83795385e-01 7.94992462e-01
 8.06189539e-01 8.17386616e-01 8.28583693e-01 8.39780769e-01
 8.50977846e-01 8.62174923e-01 8.73372000e-01 8.84569077e-01
 8.95766154e-01 9.06963231e-01 9.18160308e-01 9.29357385e-01
 9.40554462e-01 9.51751539e-01 9.62948616e-01 9.74145693e-01
 9.85342770e-01 9.96539846e-01 1.00773692e+00 1.01893400e+00
 1.03013108e+00 1.04132815e+00 1.05252523e+00 1.06372231e+00
 1.07491938e+00 1.08611646e+00 1.09731354e+00 1.10851062e+00]"
1,"[0.01118627 0.02237254 0.03355881 0.04474508 0.05593134 0.06711761
 0.07830388 0.08949015 0.10067642 0.11186269 0.12304896 0.13423523
 0.1454215  0.15660776 0.16779403 0.1789803  0.19016657 0.20135284
 0.21253911 0.22372538 0.23491165 0.24609792 0.25728418 0.26847045
 0.27965672 0.29084299 0.30202926 0.31321553 0.3244018  0.33558807
 0.34677434 0.3579606  0.36914687 0.38033314 0.39151941 0.40270568
 0.41389195 0.42507822 0.43626449 0.44745076 0.45863702 0.46982329
 0.48100956 0.49219583 0.5033821  0.51456837 0.52575464 0.53694091
 0.54812718 0.55931344 0.57049971 0.58168598 0.59287225 0.60405852
 0.61524479 0.62643106 0.63761733 0.6488036  0.65998986 0.67117613
 0.6823624  0.69354867 0.70473494 0.71592121 0.72710748 0.73829375
 0.74948002 0.76066628 0.77185255 0.78303882 0.79422509 0.80541136
 0.81659763 0.8277839  0.83897017 0.85015644 0.8613427  0.87252897
 0.88371524 0.89490151 0.90608778 0.91727405 0.92846032 0.93964659
 0.95083286 0.96201912 0.97320539 0.98439166 0.99557793 1.0067642
 1.01795047 1.02913674 1.04032301 1.05150928 1.06269554 1.07388181
 1.08506808 1.09625435 1.10744062 1.11862689]"
2,"[0.01117499 0.02234999 0.03352498 0.04469997 0.05587497 0.06704996
 0.07822496 0.08939995 0.10057494 0.11174994 0.12292493 0.13409992
 0.14527492 0.15644991 0.16762491 0.1787999  0.18997489 0.20114989
 0.21232488 0.22349987 0.23467487 0.24584986 0.25702485 0.26819985
 0.27937484 0.29054984 0.30172483 0.31289982 0.32407482 0.33524981
 0.3464248  0.3575998  0.36877479 0.37994979 0.39112478 0.40229977
 0.41347477 0.42464976 0.43582475 0.44699975 0.45817474 0.46934973
 0.48052473 0.49169972 0.50287472 0.51404971 0.5252247  0.5363997
 0.54757469 0.55874968 0.56992468 0.58109967 0.59227466 0.60344966
 0.61462465 0.62579965 0.63697464 0.64814963 0.65932463 0.67049962
 0.68167461 0.69284961 0.7040246  0.7151996  0.72637459 0.73754958
 0.74872458 0.75989957 0.77107456 0.78224956 0.79342455 0.80459954
 0.81577454 0.82694953 0.83812453 0.84929952 0.86047451 0.87164951
 0.8828245  0.89399949 0.90517449 0.91634948 0.92752448 0.93869947
 0.94987446 0.96104946 0.97222445 0.98339944 0.99457444 1.00574943
 1.01692442 1.02809942 1.03927441 1.05044941 1.0616244  1.07279939
 1.08397439 1.09514938 1.10632437 1.11749937]"
3,"[0.01117164 0.02234328 0.03351492 0.04468656 0.0558582  0.06702985
 0.07820149 0.08937313 0.10054477 0.11171641 0.12288805 0.13405969
 0.14523133 0.15640297 0.16757461 0.17874625 0.1899179  0.20108954
 0.21226118 0.22343282 0.23460446 0.2457761  0.25694774 0.26811938
 0.27929102 0.29046266 0.3016343  0.31280595 0.32397759 0.33514923
 0.34632087 0.35749251 0.36866415 0.37983579 0.39100743 0.40217907
 0.41335071 0.42452235 0.43569399 0.44686564 0.45803728 0.46920892
 0.48038056 0.4915522  0.50272384 0.51389548 0.52506712 0.53623876
 0.5474104  0.55858204 0.56975369 0.58092533 0.59209697 0.60326861
 0.61444025 0.62561189 0.63678353 0.64795517 0.65912681 0.67029845
 0.68147009 0.69264174 0.70381338 0.71498502 0.72615666 0.7373283
 0.74849994 0.75967158 0.77084322 0.78201486 0.7931865  0.80435814
 0.81552979 0.82670143 0.83787307 0.84904471 0.86021635 0.87138799
 0.88255963 0.89373127 0.90490291 0.91607455 0.92724619 0.93841784
 0.94958948 0.96076112 0.97193276 0.9831044  0.99427604 1.00544768
 1.01661932 1.02779096 1.0389626  1.05013424 1.06130589 1.07247753
 1.08364917 1.09482081 1.10599245 1.11716409]"
4,"[0.01115515 0.0223103  0.03346544 0.04462059 0.05577574 0.06693089
 0.07808603 0.08924118 0.10039633 0.11155148 0.12270663 0.13386177
 0.14501692 0.15617207 0.16732722 0.17848236 0.18963751 0.20079266
 0.21194781 0.22310296 0.2342581  0.24541325 0.2565684  0.26772355
 0.27887869 0.29003384 0.30118899 0.31234414 0.32349929 0.33465443
 0.34580958 0.35696473 0.36811988 0.37927502 0.39043017 0.40158532
 0.41274047 0.42389562 0.43505076 0.44620591 0.45736106 0.46851621
 0.47967135 0.4908265  0.50198165 0.5131368  0.52429195 0.53544709
 0.54660224 0.55775739 0.56891254 0.58006768 0.59122283 0.60237798
 0.61353313 0.62468828 0.63584342 0.64699857 0.65815372 0.66930887
 0.68046401 0.69161916 0.70277431 0.71392946 0.7250846  0.73623975
 0.7473949  0.75855005 0.7697052  0.78086034 0.79201549 0.80317064
 0.81432579 0.82548093 0.83663608 0.84779123 0.85894638 0.87010153
 0.88125667 0.89241182 0.90356697 0.91472212 0.92587726 0.93703241
 0.94818756 0.95934271 0.97049786 0.981653   0.99280815 1.0039633
 1.01511845 1.02627359 1.03742874 1.04858389 1.05973904 1.07089419
 1.08204933 1.09320448 1.10435963 1.11551478]"
5,"[0.01110394 0.02220788 0.03331183 0.04441577 0.05551971 0.06662365
 0.07772759 0.08883154 0.09993548 0.11103942 0.12214336 0.1332473
 0.14435124 0.15545519 0.16655913 0.17766307 0.18876701 0.19987095
 0.2109749  0.22207884 0.23318278 0.24428672 0.25539066 0.26649461
 0.27759855 0.28870249 0.29980643 0.31091037 0.32201432 0.33311826
 0.3442222  0.35532614 0.36643008 0.37753402 0.38863797 0.39974191
 0.41084585 0.42194979 0.43305373 0.44415768 0.45526162 0.46636556
 0.4774695  0.48857344 0.49967739 0.51078133 0.52188527 0.53298921
 0.54409315 0.5551971  0.56630104 0.57740498 0.58850892 0.59961286
 0.61071681 0.62182075 0.63292469 0.64402863 0.65513257 0.66623651
 0.67734046 0.6884444  0.69954834 0.71065228 0.72175622 0.73286017
 0.74396411 0.75506805 0.76617199 0.77727593 0.78837988 0.79948382
 0.81058776 0.8216917  0.83279564 0.84389959 0.85500353 0.86610747
 0.87721141 0.88831535 0.89941929 0.91052324 0.92162718 0.93273112
 0.94383506 0.954939   0.96604295 0.97714689 0.98825083 0.99935477
 1.01045871 1.02156266 1.0326666  1.04377054 1.05487448 1.06597842
 1.07708237 1.08818631 1.09929025 1.11039419]"
6,"[0.01108445 0.02216889 0.03325334 0.04433779 0.05542224 0.06650668
 0.07759113 0.08867558 0.09976003 0.11084447 0.12192892 0.13301337
 0.14409782 0.15518226 0.16626671 0.17735116 0.18843561 0.19952005
 0.2106045  0.22168895 0.2327734  0.24385784 0.25494229 0.26602674
 0.27711119 0.28819563 0.29928008 0.31036453 0.32144898 0.33253342
 0.34361787 0.35470232 0.36578677 0.37687121 0.38795566 0.39904011
 0.41012456 0.421209   0.43229345 0.4433779  0.45446235 0.46554679
 0.47663124 0.48771569 0.49880014 0.50988458 0.52096903 0.53205348
 0.54313793 0.55422237 0.56530682 0.57639127 0.58747572 0.59856016
 0.60964461 0.62072906 0.63181351 0.64289795 0.6539824  0.66506685
 0.6761513  0.68723574 0.69832019 0.70940464 0.72048909 0.73157353
 0.74265798 0.75374243 0.76482688 0.77591132 0.78699577 0.79808022
 0.80916467 0.82024911 0.83133356 0.84241801 0.85350246 0.8645869
 0.87567135 0.8867558  0.89784025 0.90892469 0.92000914 0.93109359
 0.94217804 0.95326248 0.96434693 0.97543138 0.98651582 0.99760027
 1.00868472 1.01976917 1.03085361 1.04193806 1.05302251 1.06410696
 1.0751914  1.08627585 1.0973603  1.10844475]"
7,"[0.01106373 0.02212747 0.0331912  0.04425493 0.05531866 0.0663824
 0.07744613 0.08850986 0.0995736  0.11063733 0.12170106 0.1327648
 0.14382853 0.15489226 0.16595599 0.17701973 0.18808346 0.19914719
 0.21021093 0.22127466 0.23233839 0.24340213 0.25446586 0.26552959
 0.27659332 0.28765706 0.29872079 0.30978452 0.32084826 0.33191199
 0.34297572 0.35403945 0.36510319 0.37616692 0.38723065 0.39829439
 0.40935812 0.42042185 0.43148559 0.44254932 0.45361305 0.46467678
 0.47574052 0.48680425 0.49786798 0.50893172 0.51999545 0.53105918
 0.54212292 0.55318665 0.56425038 0.57531411 0.58637785 0.59744158
 0.60850531 0.61956905 0.63063278 0.64169651 0.65276024 0.66382398
 0.67488771 0.68595144 0.69701518 0.70807891 0.71914264 0.73020638
 0.74127011 0.75233384 0.76339757 0.77446131 0.78552504 0.79658877
 0.80765251 0.81871624 0.82977997 0.84084371 0.85190744 0.86297117
 0.8740349  0.88509864 0.89616237 0.9072261  0.91828984 0.92935357
 0.9404173  0.95148104 0.96254477 0.9736085  0.98467223 0.99573597
 1.0067997  1.01786343 1.02892717 1.0399909  1.05105463 1.06211836
 1.0731821  1.08424583 1.09530956 1.1063733 ]"
8,"[0.01107215 0.0221443  0.03321645 0.0442886  0.05536075 0.0664329
 0.07750505 0.0885772  0.09964935 0.1107215  0.12179364 0.13286579
 0.14393794 0.15501009 0.16608224 0.17715439 0.18822654 0.19929869
 0.21037084 0.22144299 0.23251514 0.24358729 0.25465944 0.26573159
 0.27680374 0.28787589 0.29894804 0.31002019 0.32109234 0.33216449
 0.34323663 0.35430878 0.36538093 0.37645308 0.38752523 0.39859738
 0.40966953 0.42074168 0.43181383 0.44288598 0.45395813 0.46503028
 0.47610243 0.48717458 0.49824673 0.50931888 0.52039103 0.53146318
 0.54253533 0.55360748 0.56467962 0.57575177 0.58682392 0.59789607
 0.60896822 0.62004037 0.63111252 0.64218467 0.65325682 0.66432897
 0.67540112 0.68647327 0.69754542 0.70861757 0.71968972 0.73076187
 0.74183402 0.75290617 0.76397832 0.77505047 0.78612262 0.79719476
 0.80826691 0.81933906 0.83041121 0.84148336 0.85255551 0.86362766
 0.87469981 0.88577196 0.89684411 0.90791626 0.91898841 0.93006056
 0.94113271 0.95220486 0.96327701 0.97434916 0.98542131 0.99649346
 1.00756561 1.01863775 1.0297099  1.04078205 1.0518542  1.06292635
 1.0739985  1.08507065 1.0961428  1.10721495]"
9,"[0.01107321 0.02214642 0.03321963 0.04429284 0.05536605 0.06643926
 0.07751247 0.08858568 0.09965889 0.1107321  0.12180531 0.13287851
 0.14395172 0.15502493 0.16609814 0.17717135 0.18824456 0.19931777
 0.21039098 0.22146419 0.2325374  0.24361061 0.25468382 0.26575703
 0.27683024 0.28790345 0.29897666 0.31004987 0.32112308 0.33219629
 0.3432695  0.35434271 0.36541592 0.37648912 0.38756233 0.39863554
 0.40970875 0.42078196 0.43185517 0.44292838 0.45400159 0.4650748
 0.47614801 0.48722122 0.49829443 0.50936764 0.52044085 0.53151406
 0.54258727 0.55366048 0.56473369 0.5758069  0.58688011 0.59795332
 0.60902653 0.62009974 0.63117294 0.64224615 0.65331936 0.66439257
 0.67546578 0.68653899 0.6976122  0.70868541 0.71975862 0.73083183
 0.74190504 0.75297825 0.76405146 0.77512467 0.78619788 0.79727109
 0.8083443  0.81941751 0.83049072 0.84156393 0.85263714 0.86371035
 0.87478356 0.88585676 0.89692997 0.90800318 0.91907639 0.9301496
 0.94122281 0.95229602 0.96336923 0.97444244 0.98551565 0.99658886
 1.00766207 1.01873528 1.02980849 1.0408817  1.05195491 1.06302812
 1.07410133 1.08517454 1.09624775 1.10732096]"
