,Q
0,"[0.01075667 0.02151334 0.03227001 0.04302668 0.05378335 0.06454002
 0.07529669 0.08605335 0.09681002 0.10756669 0.11832336 0.12908003
 0.1398367  0.15059337 0.16135004 0.17210671 0.18286338 0.19362005
 0.20437672 0.21513339 0.22589006 0.23664673 0.24740339 0.25816006
 0.26891673 0.2796734  0.29043007 0.30118674 0.31194341 0.32270008
 0.33345675 0.34421342 0.35497009 0.36572676 0.37648343 0.3872401
 0.39799677 0.40875343 0.4195101  0.43026677 0.44102344 0.45178011
 0.46253678 0.47329345 0.48405012 0.49480679 0.50556346 0.51632013
 0.5270768  0.53783347 0.54859014 0.5593468  0.57010347 0.58086014
 0.59161681 0.60237348 0.61313015 0.62388682 0.63464349 0.64540016
 0.65615683 0.6669135  0.67767017 0.68842684 0.69918351 0.70994018
 0.72069684 0.73145351 0.74221018 0.75296685 0.76372352 0.77448019
 0.78523686 0.79599353 0.8067502  0.81750687 0.82826354 0.83902021
 0.84977688 0.86053355 0.87129022 0.88204688 0.89280355 0.90356022
 0.91431689 0.92507356 0.93583023 0.9465869  0.95734357 0.96810024
 0.97885691 0.98961358 1.00037025 1.01112692 1.02188359 1.03264026
 1.04339692 1.05415359 1.06491026 1.07566693]"
1,"[0.01075421 0.02150841 0.03226262 0.04301682 0.05377103 0.06452523
 0.07527944 0.08603364 0.09678785 0.10754206 0.11829626 0.12905047
 0.13980467 0.15055888 0.16131308 0.17206729 0.1828215  0.1935757
 0.20432991 0.21508411 0.22583832 0.23659252 0.24734673 0.25810093
 0.26885514 0.27960935 0.29036355 0.30111776 0.31187196 0.32262617
 0.33338037 0.34413458 0.35488879 0.36564299 0.3763972  0.3871514
 0.39790561 0.40865981 0.41941402 0.43016822 0.44092243 0.45167664
 0.46243084 0.47318505 0.48393925 0.49469346 0.50544766 0.51620187
 0.52695608 0.53771028 0.54846449 0.55921869 0.5699729  0.5807271
 0.59148131 0.60223551 0.61298972 0.62374393 0.63449813 0.64525234
 0.65600654 0.66676075 0.67751495 0.68826916 0.69902337 0.70977757
 0.72053178 0.73128598 0.74204019 0.75279439 0.7635486  0.7743028
 0.78505701 0.79581122 0.80656542 0.81731963 0.82807383 0.83882804
 0.84958224 0.86033645 0.87109066 0.88184486 0.89259907 0.90335327
 0.91410748 0.92486168 0.93561589 0.94637009 0.9571243  0.96787851
 0.97863271 0.98938692 1.00014112 1.01089533 1.02164953 1.03240374
 1.04315795 1.05391215 1.06466636 1.07542056]"
2,"[0.01075058 0.02150116 0.03225174 0.04300232 0.0537529  0.06450348
 0.07525406 0.08600464 0.09675522 0.1075058  0.11825638 0.12900696
 0.13975754 0.15050812 0.1612587  0.17200928 0.18275986 0.19351044
 0.20426102 0.2150116  0.22576218 0.23651276 0.24726334 0.25801392
 0.2687645  0.27951508 0.29026566 0.30101624 0.31176682 0.3225174
 0.33326798 0.34401856 0.35476914 0.36551972 0.3762703  0.38702088
 0.39777146 0.40852204 0.41927262 0.4300232  0.44077378 0.45152436
 0.46227494 0.47302552 0.4837761  0.49452667 0.50527725 0.51602783
 0.52677841 0.53752899 0.54827957 0.55903015 0.56978073 0.58053131
 0.59128189 0.60203247 0.61278305 0.62353363 0.63428421 0.64503479
 0.65578537 0.66653595 0.67728653 0.68803711 0.69878769 0.70953827
 0.72028885 0.73103943 0.74179001 0.75254059 0.76329117 0.77404175
 0.78479233 0.79554291 0.80629349 0.81704407 0.82779465 0.83854523
 0.84929581 0.86004639 0.87079697 0.88154755 0.89229813 0.90304871
 0.91379929 0.92454987 0.93530045 0.94605103 0.95680161 0.96755219
 0.97830277 0.98905335 0.99980393 1.01055451 1.02130509 1.03205567
 1.04280625 1.05355683 1.06430741 1.07505799]"
3,"[0.01078356 0.02156712 0.03235068 0.04313424 0.05391779 0.06470135
 0.07548491 0.08626847 0.09705203 0.10783559 0.11861915 0.12940271
 0.14018627 0.15096982 0.16175338 0.17253694 0.1833205  0.19410406
 0.20488762 0.21567118 0.22645474 0.23723829 0.24802185 0.25880541
 0.26958897 0.28037253 0.29115609 0.30193965 0.31272321 0.32350677
 0.33429032 0.34507388 0.35585744 0.366641   0.37742456 0.38820812
 0.39899168 0.40977524 0.4205588  0.43134235 0.44212591 0.45290947
 0.46369303 0.47447659 0.48526015 0.49604371 0.50682727 0.51761082
 0.52839438 0.53917794 0.5499615  0.56074506 0.57152862 0.58231218
 0.59309574 0.6038793  0.61466285 0.62544641 0.63622997 0.64701353
 0.65779709 0.66858065 0.67936421 0.69014777 0.70093133 0.71171488
 0.72249844 0.733282   0.74406556 0.75484912 0.76563268 0.77641624
 0.7871998  0.79798336 0.80876691 0.81955047 0.83033403 0.84111759
 0.85190115 0.86268471 0.87346827 0.88425183 0.89503538 0.90581894
 0.9166025  0.92738606 0.93816962 0.94895318 0.95973674 0.9705203
 0.98130386 0.99208741 1.00287097 1.01365453 1.02443809 1.03522165
 1.04600521 1.05678877 1.06757233 1.07835589]"
4,"[0.01076451 0.02152902 0.03229353 0.04305804 0.05382255 0.06458706
 0.07535157 0.08611608 0.09688059 0.10764509 0.1184096  0.12917411
 0.13993862 0.15070313 0.16146764 0.17223215 0.18299666 0.19376117
 0.20452568 0.21529019 0.2260547  0.23681921 0.24758372 0.25834823
 0.26911274 0.27987725 0.29064176 0.30140627 0.31217077 0.32293528
 0.33369979 0.3444643  0.35522881 0.36599332 0.37675783 0.38752234
 0.39828685 0.40905136 0.41981587 0.43058038 0.44134489 0.4521094
 0.46287391 0.47363842 0.48440293 0.49516744 0.50593195 0.51669645
 0.52746096 0.53822547 0.54898998 0.55975449 0.570519   0.58128351
 0.59204802 0.60281253 0.61357704 0.62434155 0.63510606 0.64587057
 0.65663508 0.66739959 0.6781641  0.68892861 0.69969312 0.71045763
 0.72122213 0.73198664 0.74275115 0.75351566 0.76428017 0.77504468
 0.78580919 0.7965737  0.80733821 0.81810272 0.82886723 0.83963174
 0.85039625 0.86116076 0.87192527 0.88268978 0.89345429 0.9042188
 0.9149833  0.92574781 0.93651232 0.94727683 0.95804134 0.96880585
 0.97957036 0.99033487 1.00109938 1.01186389 1.0226284  1.03339291
 1.04415742 1.05492193 1.06568644 1.07645095]"
5,"[0.01070538 0.02141076 0.03211613 0.04282151 0.05352689 0.06423227
 0.07493764 0.08564302 0.0963484  0.10705378 0.11775916 0.12846453
 0.13916991 0.14987529 0.16058067 0.17128605 0.18199142 0.1926968
 0.20340218 0.21410756 0.22481293 0.23551831 0.24622369 0.25692907
 0.26763445 0.27833982 0.2890452  0.29975058 0.31045596 0.32116133
 0.33186671 0.34257209 0.35327747 0.36398285 0.37468822 0.3853936
 0.39609898 0.40680436 0.41750974 0.42821511 0.43892049 0.44962587
 0.46033125 0.47103662 0.481742   0.49244738 0.50315276 0.51385814
 0.52456351 0.53526889 0.54597427 0.55667965 0.56738503 0.5780904
 0.58879578 0.59950116 0.61020654 0.62091191 0.63161729 0.64232267
 0.65302805 0.66373343 0.6744388  0.68514418 0.69584956 0.70655494
 0.71726031 0.72796569 0.73867107 0.74937645 0.76008183 0.7707872
 0.78149258 0.79219796 0.80290334 0.81360872 0.82431409 0.83501947
 0.84572485 0.85643023 0.8671356  0.87784098 0.88854636 0.89925174
 0.90995712 0.92066249 0.93136787 0.94207325 0.95277863 0.963484
 0.97418938 0.98489476 0.99560014 1.00630552 1.01701089 1.02771627
 1.03842165 1.04912703 1.05983241 1.07053778]"
6,"[0.01058826 0.02117651 0.03176477 0.04235303 0.05294128 0.06352954
 0.0741178  0.08470605 0.09529431 0.10588256 0.11647082 0.12705908
 0.13764733 0.14823559 0.15882385 0.1694121  0.18000036 0.19058862
 0.20117687 0.21176513 0.22235339 0.23294164 0.2435299  0.25411816
 0.26470641 0.27529467 0.28588292 0.29647118 0.30705944 0.31764769
 0.32823595 0.33882421 0.34941246 0.36000072 0.37058898 0.38117723
 0.39176549 0.40235375 0.412942   0.42353026 0.43411852 0.44470677
 0.45529503 0.46588328 0.47647154 0.4870598  0.49764805 0.50823631
 0.51882457 0.52941282 0.54000108 0.55058934 0.56117759 0.57176585
 0.58235411 0.59294236 0.60353062 0.61411887 0.62470713 0.63529539
 0.64588364 0.6564719  0.66706016 0.67764841 0.68823667 0.69882493
 0.70941318 0.72000144 0.7305897  0.74117795 0.75176621 0.76235447
 0.77294272 0.78353098 0.79411923 0.80470749 0.81529575 0.825884
 0.83647226 0.84706052 0.85764877 0.86823703 0.87882529 0.88941354
 0.9000018  0.91059006 0.92117831 0.93176657 0.94235483 0.95294308
 0.96353134 0.97411959 0.98470785 0.99529611 1.00588436 1.01647262
 1.02706088 1.03764913 1.04823739 1.05882565]"
7,"[0.01054044 0.02108089 0.03162133 0.04216177 0.05270222 0.06324266
 0.0737831  0.08432355 0.09486399 0.10540444 0.11594488 0.12648532
 0.13702577 0.14756621 0.15810665 0.1686471  0.17918754 0.18972798
 0.20026843 0.21080887 0.22134931 0.23188976 0.2424302  0.25297064
 0.26351109 0.27405153 0.28459197 0.29513242 0.30567286 0.31621331
 0.32675375 0.33729419 0.34783464 0.35837508 0.36891552 0.37945597
 0.38999641 0.40053685 0.4110773  0.42161774 0.43215818 0.44269863
 0.45323907 0.46377951 0.47431996 0.4848604  0.49540084 0.50594129
 0.51648173 0.52702218 0.53756262 0.54810306 0.55864351 0.56918395
 0.57972439 0.59026484 0.60080528 0.61134572 0.62188617 0.63242661
 0.64296705 0.6535075  0.66404794 0.67458838 0.68512883 0.69566927
 0.70620971 0.71675016 0.7272906  0.73783105 0.74837149 0.75891193
 0.76945238 0.77999282 0.79053326 0.80107371 0.81161415 0.82215459
 0.83269504 0.84323548 0.85377592 0.86431637 0.87485681 0.88539725
 0.8959377  0.90647814 0.91701858 0.92755903 0.93809947 0.94863992
 0.95918036 0.9697208  0.98026125 0.99080169 1.00134213 1.01188258
 1.02242302 1.03296346 1.04350391 1.05404435]"
8,"[0.01050759 0.02101519 0.03152278 0.04203038 0.05253797 0.06304557
 0.07355316 0.08406076 0.09456835 0.10507595 0.11558354 0.12609113
 0.13659873 0.14710632 0.15761392 0.16812151 0.17862911 0.1891367
 0.1996443  0.21015189 0.22065949 0.23116708 0.24167467 0.25218227
 0.26268986 0.27319746 0.28370505 0.29421265 0.30472024 0.31522784
 0.32573543 0.33624303 0.34675062 0.35725821 0.36776581 0.3782734
 0.388781   0.39928859 0.40979619 0.42030378 0.43081138 0.44131897
 0.45182656 0.46233416 0.47284175 0.48334935 0.49385694 0.50436454
 0.51487213 0.52537973 0.53588732 0.54639492 0.55690251 0.5674101
 0.5779177  0.58842529 0.59893289 0.60944048 0.61994808 0.63045567
 0.64096327 0.65147086 0.66197846 0.67248605 0.68299364 0.69350124
 0.70400883 0.71451643 0.72502402 0.73553162 0.74603921 0.75654681
 0.7670544  0.777562   0.78806959 0.79857718 0.80908478 0.81959237
 0.83009997 0.84060756 0.85111516 0.86162275 0.87213035 0.88263794
 0.89314554 0.90365313 0.91416072 0.92466832 0.93517591 0.94568351
 0.9561911  0.9666987  0.97720629 0.98771389 0.99822148 1.00872908
 1.01923667 1.02974426 1.04025186 1.05075945]"
9,"[0.01046451 0.02092903 0.03139354 0.04185805 0.05232257 0.06278708
 0.07325159 0.08371611 0.09418062 0.10464513 0.11510965 0.12557416
 0.13603867 0.14650319 0.1569677  0.16743222 0.17789673 0.18836124
 0.19882576 0.20929027 0.21975478 0.2302193  0.24068381 0.25114832
 0.26161284 0.27207735 0.28254186 0.29300638 0.30347089 0.3139354
 0.32439992 0.33486443 0.34532894 0.35579346 0.36625797 0.37672248
 0.387187   0.39765151 0.40811602 0.41858054 0.42904505 0.43950956
 0.44997408 0.46043859 0.47090311 0.48136762 0.49183213 0.50229665
 0.51276116 0.52322567 0.53369019 0.5441547  0.55461921 0.56508373
 0.57554824 0.58601275 0.59647727 0.60694178 0.61740629 0.62787081
 0.63833532 0.64879983 0.65926435 0.66972886 0.68019337 0.69065789
 0.7011224  0.71158691 0.72205143 0.73251594 0.74298046 0.75344497
 0.76390948 0.774374   0.78483851 0.79530302 0.80576754 0.81623205
 0.82669656 0.83716108 0.84762559 0.8580901  0.86855462 0.87901913
 0.88948364 0.89994816 0.91041267 0.92087718 0.9313417  0.94180621
 0.95227072 0.96273524 0.97319975 0.98366426 0.99412878 1.00459329
 1.0150578  1.02552232 1.03598683 1.04645135]"
