,Q
0,"[0.01076106 0.02152212 0.03228319 0.04304425 0.05380531 0.06456637
 0.07532743 0.0860885  0.09684956 0.10761062 0.11837168 0.12913274
 0.1398938  0.15065487 0.16141593 0.17217699 0.18293805 0.19369911
 0.20446018 0.21522124 0.2259823  0.23674336 0.24750442 0.25826549
 0.26902655 0.27978761 0.29054867 0.30130973 0.3120708  0.32283186
 0.33359292 0.34435398 0.35511504 0.36587611 0.37663717 0.38739823
 0.39815929 0.40892035 0.41968141 0.43044248 0.44120354 0.4519646
 0.46272566 0.47348672 0.48424779 0.49500885 0.50576991 0.51653097
 0.52729203 0.5380531  0.54881416 0.55957522 0.57033628 0.58109734
 0.59185841 0.60261947 0.61338053 0.62414159 0.63490265 0.64566371
 0.65642478 0.66718584 0.6779469  0.68870796 0.69946902 0.71023009
 0.72099115 0.73175221 0.74251327 0.75327433 0.7640354  0.77479646
 0.78555752 0.79631858 0.80707964 0.81784071 0.82860177 0.83936283
 0.85012389 0.86088495 0.87164601 0.88240708 0.89316814 0.9039292
 0.91469026 0.92545132 0.93621239 0.94697345 0.95773451 0.96849557
 0.97925663 0.9900177  1.00077876 1.01153982 1.02230088 1.03306194
 1.04382301 1.05458407 1.06534513 1.07610619]"
1,"[0.01075709 0.02151419 0.03227128 0.04302837 0.05378546 0.06454256
 0.07529965 0.08605674 0.09681384 0.10757093 0.11832802 0.12908512
 0.13984221 0.1505993  0.16135639 0.17211349 0.18287058 0.19362767
 0.20438477 0.21514186 0.22589895 0.23665604 0.24741314 0.25817023
 0.26892732 0.27968442 0.29044151 0.3011986  0.31195569 0.32271279
 0.33346988 0.34422697 0.35498407 0.36574116 0.37649825 0.38725535
 0.39801244 0.40876953 0.41952662 0.43028372 0.44104081 0.4517979
 0.462555   0.47331209 0.48406918 0.49482627 0.50558337 0.51634046
 0.52709755 0.53785465 0.54861174 0.55936883 0.57012592 0.58088302
 0.59164011 0.6023972  0.6131543  0.62391139 0.63466848 0.64542558
 0.65618267 0.66693976 0.67769685 0.68845395 0.69921104 0.70996813
 0.72072523 0.73148232 0.74223941 0.7529965  0.7637536  0.77451069
 0.78526778 0.79602488 0.80678197 0.81753906 0.82829615 0.83905325
 0.84981034 0.86056743 0.87132453 0.88208162 0.89283871 0.90359581
 0.9143529  0.92510999 0.93586708 0.94662418 0.95738127 0.96813836
 0.97889546 0.98965255 1.00040964 1.01116673 1.02192383 1.03268092
 1.04343801 1.05419511 1.0649522  1.07570929]"
2,"[0.0107456  0.0214912  0.03223679 0.04298239 0.05372799 0.06447359
 0.07521918 0.08596478 0.09671038 0.10745598 0.11820157 0.12894717
 0.13969277 0.15043837 0.16118396 0.17192956 0.18267516 0.19342076
 0.20416635 0.21491195 0.22565755 0.23640315 0.24714874 0.25789434
 0.26863994 0.27938554 0.29013113 0.30087673 0.31162233 0.32236793
 0.33311352 0.34385912 0.35460472 0.36535032 0.37609591 0.38684151
 0.39758711 0.40833271 0.4190783  0.4298239  0.4405695  0.4513151
 0.46206069 0.47280629 0.48355189 0.49429749 0.50504308 0.51578868
 0.52653428 0.53727988 0.54802547 0.55877107 0.56951667 0.58026227
 0.59100786 0.60175346 0.61249906 0.62324466 0.63399025 0.64473585
 0.65548145 0.66622705 0.67697265 0.68771824 0.69846384 0.70920944
 0.71995504 0.73070063 0.74144623 0.75219183 0.76293743 0.77368302
 0.78442862 0.79517422 0.80591982 0.81666541 0.82741101 0.83815661
 0.84890221 0.8596478  0.8703934  0.881139   0.8918846  0.90263019
 0.91337579 0.92412139 0.93486699 0.94561258 0.95635818 0.96710378
 0.97784938 0.98859497 0.99934057 1.01008617 1.02083177 1.03157736
 1.04232296 1.05306856 1.06381416 1.07455975]"
3,"[-7.54954346e-15  1.08175513e-02  2.16351027e-02  3.24526540e-02
  4.32702053e-02  5.40877566e-02  6.49053080e-02  7.57228593e-02
  8.65404106e-02  9.73579620e-02  1.08175513e-01  1.18993065e-01
  1.29810616e-01  1.40628167e-01  1.51445719e-01  1.62263270e-01
  1.73080821e-01  1.83898373e-01  1.94715924e-01  2.05533475e-01
  2.16351027e-01  2.27168578e-01  2.37986129e-01  2.48803681e-01
  2.59621232e-01  2.70438783e-01  2.81256335e-01  2.92073886e-01
  3.02891437e-01  3.13708989e-01  3.24526540e-01  3.35344091e-01
  3.46161643e-01  3.56979194e-01  3.67796745e-01  3.78614296e-01
  3.89431848e-01  4.00249399e-01  4.11066950e-01  4.21884502e-01
  4.32702053e-01  4.43519604e-01  4.54337156e-01  4.65154707e-01
  4.75972258e-01  4.86789810e-01  4.97607361e-01  5.08424912e-01
  5.19242464e-01  5.30060015e-01  5.40877566e-01  5.51695118e-01
  5.62512669e-01  5.73330220e-01  5.84147772e-01  5.94965323e-01
  6.05782874e-01  6.16600426e-01  6.27417977e-01  6.38235528e-01
  6.49053080e-01  6.59870631e-01  6.70688182e-01  6.81505734e-01
  6.92323285e-01  7.03140836e-01  7.13958388e-01  7.24775939e-01
  7.35593490e-01  7.46411042e-01  7.57228593e-01  7.68046144e-01
  7.78863696e-01  7.89681247e-01  8.00498798e-01  8.11316350e-01
  8.22133901e-01  8.32951452e-01  8.43769004e-01  8.54586555e-01
  8.65404106e-01  8.76221658e-01  8.87039209e-01  8.97856760e-01
  9.08674312e-01  9.19491863e-01  9.30309414e-01  9.41126966e-01
  9.51944517e-01  9.62762068e-01  9.73579620e-01  9.84397171e-01
  9.95214722e-01  1.00603227e+00  1.01684982e+00  1.02766738e+00
  1.03848493e+00  1.04930248e+00  1.06012003e+00  1.07093758e+00]"
4,"[0.0108052  0.0216104  0.0324156  0.04322079 0.05402599 0.06483119
 0.07563639 0.08644159 0.09724679 0.10805198 0.11885718 0.12966238
 0.14046758 0.15127278 0.16207798 0.17288317 0.18368837 0.19449357
 0.20529877 0.21610397 0.22690917 0.23771437 0.24851956 0.25932476
 0.27012996 0.28093516 0.29174036 0.30254556 0.31335075 0.32415595
 0.33496115 0.34576635 0.35657155 0.36737675 0.37818194 0.38898714
 0.39979234 0.41059754 0.42140274 0.43220794 0.44301314 0.45381833
 0.46462353 0.47542873 0.48623393 0.49703913 0.50784433 0.51864952
 0.52945472 0.54025992 0.55106512 0.56187032 0.57267552 0.58348071
 0.59428591 0.60509111 0.61589631 0.62670151 0.63750671 0.64831191
 0.6591171  0.6699223  0.6807275  0.6915327  0.7023379  0.7131431
 0.72394829 0.73475349 0.74555869 0.75636389 0.76716909 0.77797429
 0.78877948 0.79958468 0.81038988 0.82119508 0.83200028 0.84280548
 0.85361068 0.86441587 0.87522107 0.88602627 0.89683147 0.90763667
 0.91844187 0.92924706 0.94005226 0.95085746 0.96166266 0.97246786
 0.98327306 0.99407825 1.00488345 1.01568865 1.02649385 1.03729905
 1.04810425 1.05890945 1.06971464 1.08051984]"
5,"[-1.99834765e-15  1.06400304e-02  2.12800608e-02  3.19200912e-02
  4.25601215e-02  5.32001519e-02  6.38401823e-02  7.44802127e-02
  8.51202431e-02  9.57602735e-02  1.06400304e-01  1.17040334e-01
  1.27680365e-01  1.38320395e-01  1.48960425e-01  1.59600456e-01
  1.70240486e-01  1.80880517e-01  1.91520547e-01  2.02160577e-01
  2.12800608e-01  2.23440638e-01  2.34080668e-01  2.44720699e-01
  2.55360729e-01  2.66000760e-01  2.76640790e-01  2.87280820e-01
  2.97920851e-01  3.08560881e-01  3.19200912e-01  3.29840942e-01
  3.40480972e-01  3.51121003e-01  3.61761033e-01  3.72401064e-01
  3.83041094e-01  3.93681124e-01  4.04321155e-01  4.14961185e-01
  4.25601215e-01  4.36241246e-01  4.46881276e-01  4.57521307e-01
  4.68161337e-01  4.78801367e-01  4.89441398e-01  5.00081428e-01
  5.10721459e-01  5.21361489e-01  5.32001519e-01  5.42641550e-01
  5.53281580e-01  5.63921610e-01  5.74561641e-01  5.85201671e-01
  5.95841702e-01  6.06481732e-01  6.17121762e-01  6.27761793e-01
  6.38401823e-01  6.49041854e-01  6.59681884e-01  6.70321914e-01
  6.80961945e-01  6.91601975e-01  7.02242005e-01  7.12882036e-01
  7.23522066e-01  7.34162097e-01  7.44802127e-01  7.55442157e-01
  7.66082188e-01  7.76722218e-01  7.87362249e-01  7.98002279e-01
  8.08642309e-01  8.19282340e-01  8.29922370e-01  8.40562401e-01
  8.51202431e-01  8.61842461e-01  8.72482492e-01  8.83122522e-01
  8.93762552e-01  9.04402583e-01  9.15042613e-01  9.25682644e-01
  9.36322674e-01  9.46962704e-01  9.57602735e-01  9.68242765e-01
  9.78882796e-01  9.89522826e-01  1.00016286e+00  1.01080289e+00
  1.02144292e+00  1.03208295e+00  1.04272298e+00  1.05336301e+00]"
6,"[0.01053164 0.02106327 0.03159491 0.04212654 0.05265818 0.06318981
 0.07372145 0.08425308 0.09478472 0.10531635 0.11584799 0.12637962
 0.13691126 0.1474429  0.15797453 0.16850617 0.1790378  0.18956944
 0.20010107 0.21063271 0.22116434 0.23169598 0.24222761 0.25275925
 0.26329088 0.27382252 0.28435415 0.29488579 0.30541743 0.31594906
 0.3264807  0.33701233 0.34754397 0.3580756  0.36860724 0.37913887
 0.38967051 0.40020214 0.41073378 0.42126541 0.43179705 0.44232869
 0.45286032 0.46339196 0.47392359 0.48445523 0.49498686 0.5055185
 0.51605013 0.52658177 0.5371134  0.54764504 0.55817667 0.56870831
 0.57923994 0.58977158 0.60030322 0.61083485 0.62136649 0.63189812
 0.64242976 0.65296139 0.66349303 0.67402466 0.6845563  0.69508793
 0.70561957 0.7161512  0.72668284 0.73721448 0.74774611 0.75827775
 0.76880938 0.77934102 0.78987265 0.80040429 0.81093592 0.82146756
 0.83199919 0.84253083 0.85306246 0.8635941  0.87412573 0.88465737
 0.89518901 0.90572064 0.91625228 0.92678391 0.93731555 0.94784718
 0.95837882 0.96891045 0.97944209 0.98997372 1.00050536 1.01103699
 1.02156863 1.03210027 1.0426319  1.05316354]"
7,"[0.01048971 0.02097942 0.03146913 0.04195884 0.05244855 0.06293826
 0.07342797 0.08391767 0.09440738 0.10489709 0.1153868  0.12587651
 0.13636622 0.14685593 0.15734564 0.16783535 0.17832506 0.18881477
 0.19930448 0.20979419 0.2202839  0.2307736  0.24126331 0.25175302
 0.26224273 0.27273244 0.28322215 0.29371186 0.30420157 0.31469128
 0.32518099 0.3356707  0.34616041 0.35665012 0.36713983 0.37762953
 0.38811924 0.39860895 0.40909866 0.41958837 0.43007808 0.44056779
 0.4510575  0.46154721 0.47203692 0.48252663 0.49301634 0.50350605
 0.51399576 0.52448546 0.53497517 0.54546488 0.55595459 0.5664443
 0.57693401 0.58742372 0.59791343 0.60840314 0.61889285 0.62938256
 0.63987227 0.65036198 0.66085169 0.67134139 0.6818311  0.69232081
 0.70281052 0.71330023 0.72378994 0.73427965 0.74476936 0.75525907
 0.76574878 0.77623849 0.7867282  0.79721791 0.80770762 0.81819732
 0.82868703 0.83917674 0.84966645 0.86015616 0.87064587 0.88113558
 0.89162529 0.902115   0.91260471 0.92309442 0.93358413 0.94407384
 0.95456355 0.96505325 0.97554296 0.98603267 0.99652238 1.00701209
 1.0175018  1.02799151 1.03848122 1.04897093]"
8,"[0.01046022 0.02092044 0.03138066 0.04184089 0.05230111 0.06276133
 0.07322155 0.08368177 0.09414199 0.10460222 0.11506244 0.12552266
 0.13598288 0.1464431  0.15690332 0.16736355 0.17782377 0.18828399
 0.19874421 0.20920443 0.21966465 0.23012488 0.2405851  0.25104532
 0.26150554 0.27196576 0.28242598 0.2928862  0.30334643 0.31380665
 0.32426687 0.33472709 0.34518731 0.35564753 0.36610776 0.37656798
 0.3870282  0.39748842 0.40794864 0.41840886 0.42886909 0.43932931
 0.44978953 0.46024975 0.47070997 0.48117019 0.49163042 0.50209064
 0.51255086 0.52301108 0.5334713  0.54393152 0.55439174 0.56485197
 0.57531219 0.58577241 0.59623263 0.60669285 0.61715307 0.6276133
 0.63807352 0.64853374 0.65899396 0.66945418 0.6799144  0.69037463
 0.70083485 0.71129507 0.72175529 0.73221551 0.74267573 0.75313596
 0.76359618 0.7740564  0.78451662 0.79497684 0.80543706 0.81589728
 0.82635751 0.83681773 0.84727795 0.85773817 0.86819839 0.87865861
 0.88911884 0.89957906 0.91003928 0.9204995  0.93095972 0.94141994
 0.95188017 0.96234039 0.97280061 0.98326083 0.99372105 1.00418127
 1.0146415  1.02510172 1.03556194 1.04602216]"
9,"[0.01041822 0.02083644 0.03125466 0.04167288 0.0520911  0.06250932
 0.07292754 0.08334576 0.09376398 0.1041822  0.11460042 0.12501865
 0.13543687 0.14585509 0.15627331 0.16669153 0.17710975 0.18752797
 0.19794619 0.20836441 0.21878263 0.22920085 0.23961907 0.25003729
 0.26045551 0.27087373 0.28129195 0.29171017 0.30212839 0.31254661
 0.32296483 0.33338305 0.34380127 0.3542195  0.36463772 0.37505594
 0.38547416 0.39589238 0.4063106  0.41672882 0.42714704 0.43756526
 0.44798348 0.4584017  0.46881992 0.47923814 0.48965636 0.50007458
 0.5104928  0.52091102 0.53132924 0.54174746 0.55216568 0.5625839
 0.57300212 0.58342034 0.59383857 0.60425679 0.61467501 0.62509323
 0.63551145 0.64592967 0.65634789 0.66676611 0.67718433 0.68760255
 0.69802077 0.70843899 0.71885721 0.72927543 0.73969365 0.75011187
 0.76053009 0.77094831 0.78136653 0.79178475 0.80220297 0.81262119
 0.82303941 0.83345764 0.84387586 0.85429408 0.8647123  0.87513052
 0.88554874 0.89596696 0.90638518 0.9168034  0.92722162 0.93763984
 0.94805806 0.95847628 0.9688945  0.97931272 0.98973094 1.00014916
 1.01056738 1.0209856  1.03140382 1.04182204]"
