Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	4152	29	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.748800	8	3	3	0	1	2	2	4204	123	24	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.745283	8	3	3	0	1	2	2	4204	116	24	107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.740317	8	3	3	0	1	2	2	4204	110	24	166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.736800	8	3	3	0	1	2	2	4204	107	24	226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.750567	8	3	3	0	1	2	2	4204	102	24	287	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.747033	8	3	3	0	1	2	2	4204	99	24	347	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.744967	8	3	3	0	1	2	2	4204	96	24	406	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.738567	8	3	3	0	1	2	2	4204	93	24	466	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.755200	8	3	3	0	1	2	2	4204	90	24	527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.751683	8	3	3	0	1	2	2	4204	87	24	587	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.746717	8	3	3	0	1	2	2	4204	86	24	646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.740317	8	3	3	0	1	2	2	4204	83	24	706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.746883	8	3	3	0	1	2	2	4204	81	24	766	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
