,Q
0,"[0.01072076 0.02144151 0.03216227 0.04288303 0.05360379 0.06432454
 0.0750453  0.08576606 0.09648681 0.10720757 0.11792833 0.12864909
 0.13936984 0.1500906  0.16081136 0.17153211 0.18225287 0.19297363
 0.20369439 0.21441514 0.2251359  0.23585666 0.24657741 0.25729817
 0.26801893 0.27873969 0.28946044 0.3001812  0.31090196 0.32162271
 0.33234347 0.34306423 0.35378498 0.36450574 0.3752265  0.38594726
 0.39666801 0.40738877 0.41810953 0.42883028 0.43955104 0.4502718
 0.46099256 0.47171331 0.48243407 0.49315483 0.50387558 0.51459634
 0.5253171  0.53603786 0.54675861 0.55747937 0.56820013 0.57892088
 0.58964164 0.6003624  0.61108316 0.62180391 0.63252467 0.64324543
 0.65396618 0.66468694 0.6754077  0.68612846 0.69684921 0.70756997
 0.71829073 0.72901148 0.73973224 0.750453   0.76117376 0.77189451
 0.78261527 0.79333603 0.80405678 0.81477754 0.8254983  0.83621906
 0.84693981 0.85766057 0.86838133 0.87910208 0.88982284 0.9005436
 0.91126436 0.92198511 0.93270587 0.94342663 0.95414738 0.96486814
 0.9755889  0.98630966 0.99703041 1.00775117 1.01847193 1.02919268
 1.03991344 1.0506342  1.06135495 1.07207571]"
1,"[0.01071769 0.02143539 0.03215308 0.04287078 0.05358847 0.06430616
 0.07502386 0.08574155 0.09645925 0.10717694 0.11789463 0.12861233
 0.13933002 0.15004772 0.16076541 0.1714831  0.1822008  0.19291849
 0.20363619 0.21435388 0.22507157 0.23578927 0.24650696 0.25722466
 0.26794235 0.27866004 0.28937774 0.30009543 0.31081313 0.32153082
 0.33224851 0.34296621 0.3536839  0.3644016  0.37511929 0.38583698
 0.39655468 0.40727237 0.41799007 0.42870776 0.43942545 0.45014315
 0.46086084 0.47157854 0.48229623 0.49301392 0.50373162 0.51444931
 0.52516701 0.5358847  0.54660239 0.55732009 0.56803778 0.57875548
 0.58947317 0.60019086 0.61090856 0.62162625 0.63234395 0.64306164
 0.65377933 0.66449703 0.67521472 0.68593242 0.69665011 0.7073678
 0.7180855  0.72880319 0.73952089 0.75023858 0.76095627 0.77167397
 0.78239166 0.79310936 0.80382705 0.81454474 0.82526244 0.83598013
 0.84669783 0.85741552 0.86813321 0.87885091 0.8895686  0.9002863
 0.91100399 0.92172168 0.93243938 0.94315707 0.95387477 0.96459246
 0.97531015 0.98602785 0.99674554 1.00746324 1.01818093 1.02889862
 1.03961632 1.05033401 1.06105171 1.0717694 ]"
2,"[0.01071083 0.02142165 0.03213248 0.04284331 0.05355414 0.06426496
 0.07497579 0.08568662 0.09639744 0.10710827 0.1178191  0.12852993
 0.13924075 0.14995158 0.16066241 0.17137323 0.18208406 0.19279489
 0.20350572 0.21421654 0.22492737 0.2356382  0.24634902 0.25705985
 0.26777068 0.27848151 0.28919233 0.29990316 0.31061399 0.32132481
 0.33203564 0.34274647 0.3534573  0.36416812 0.37487895 0.38558978
 0.3963006  0.40701143 0.41772226 0.42843309 0.43914391 0.44985474
 0.46056557 0.47127639 0.48198722 0.49269805 0.50340887 0.5141197
 0.52483053 0.53554136 0.54625218 0.55696301 0.56767384 0.57838466
 0.58909549 0.59980632 0.61051715 0.62122797 0.6319388  0.64264963
 0.65336045 0.66407128 0.67478211 0.68549294 0.69620376 0.70691459
 0.71762542 0.72833624 0.73904707 0.7497579  0.76046873 0.77117955
 0.78189038 0.79260121 0.80331203 0.81402286 0.82473369 0.83544452
 0.84615534 0.85686617 0.867577   0.87828782 0.88899865 0.89970948
 0.91042031 0.92113113 0.93184196 0.94255279 0.95326361 0.96397444
 0.97468527 0.9853961  0.99610692 1.00681775 1.01752858 1.0282394
 1.03895023 1.04966106 1.06037189 1.07108271]"
3,"[0.01076112 0.02152224 0.03228336 0.04304447 0.05380559 0.06456671
 0.07532783 0.08608895 0.09685007 0.10761119 0.1183723  0.12913342
 0.13989454 0.15065566 0.16141678 0.1721779  0.18293902 0.19370013
 0.20446125 0.21522237 0.22598349 0.23674461 0.24750573 0.25826685
 0.26902796 0.27978908 0.2905502  0.30131132 0.31207244 0.32283356
 0.33359467 0.34435579 0.35511691 0.36587803 0.37663915 0.38740027
 0.39816139 0.4089225  0.41968362 0.43044474 0.44120586 0.45196698
 0.4627281  0.47348922 0.48425033 0.49501145 0.50577257 0.51653369
 0.52729481 0.53805593 0.54881705 0.55957816 0.57033928 0.5811004
 0.59186152 0.60262264 0.61338376 0.62414488 0.63490599 0.64566711
 0.65642823 0.66718935 0.67795047 0.68871159 0.69947271 0.71023382
 0.72099494 0.73175606 0.74251718 0.7532783  0.76403942 0.77480054
 0.78556165 0.79632277 0.80708389 0.81784501 0.82860613 0.83936725
 0.85012837 0.86088948 0.8716506  0.88241172 0.89317284 0.90393396
 0.91469508 0.92545619 0.93621731 0.94697843 0.95773955 0.96850067
 0.97926179 0.99002291 1.00078402 1.01154514 1.02230626 1.03306738
 1.0438285  1.05458962 1.06535074 1.07611185]"
4,"[0.01074977 0.02149954 0.03224931 0.04299908 0.05374885 0.06449862
 0.07524838 0.08599815 0.09674792 0.10749769 0.11824746 0.12899723
 0.139747   0.15049677 0.16124654 0.17199631 0.18274608 0.19349585
 0.20424561 0.21499538 0.22574515 0.23649492 0.24724469 0.25799446
 0.26874423 0.279494   0.29024377 0.30099354 0.31174331 0.32249308
 0.33324284 0.34399261 0.35474238 0.36549215 0.37624192 0.38699169
 0.39774146 0.40849123 0.419241   0.42999077 0.44074054 0.45149031
 0.46224008 0.47298984 0.48373961 0.49448938 0.50523915 0.51598892
 0.52673869 0.53748846 0.54823823 0.558988   0.56973777 0.58048754
 0.59123731 0.60198707 0.61273684 0.62348661 0.63423638 0.64498615
 0.65573592 0.66648569 0.67723546 0.68798523 0.698735   0.70948477
 0.72023454 0.73098431 0.74173407 0.75248384 0.76323361 0.77398338
 0.78473315 0.79548292 0.80623269 0.81698246 0.82773223 0.838482
 0.84923177 0.85998154 0.8707313  0.88148107 0.89223084 0.90298061
 0.91373038 0.92448015 0.93522992 0.94597969 0.95672946 0.96747923
 0.978229   0.98897877 0.99972853 1.0104783  1.02122807 1.03197784
 1.04272761 1.05347738 1.06422715 1.07497692]"
5,"[0.01069083 0.02138165 0.03207248 0.0427633  0.05345413 0.06414495
 0.07483578 0.08552661 0.09621743 0.10690826 0.11759908 0.12828991
 0.13898073 0.14967156 0.16036238 0.17105321 0.18174404 0.19243486
 0.20312569 0.21381651 0.22450734 0.23519816 0.24588899 0.25657982
 0.26727064 0.27796147 0.28865229 0.29934312 0.31003394 0.32072477
 0.33141559 0.34210642 0.35279725 0.36348807 0.3741789  0.38486972
 0.39556055 0.40625137 0.4169422  0.42763303 0.43832385 0.44901468
 0.4597055  0.47039633 0.48108715 0.49177798 0.5024688  0.51315963
 0.52385046 0.53454128 0.54523211 0.55592293 0.56661376 0.57730458
 0.58799541 0.59868624 0.60937706 0.62006789 0.63075871 0.64144954
 0.65214036 0.66283119 0.67352201 0.68421284 0.69490367 0.70559449
 0.71628532 0.72697614 0.73766697 0.74835779 0.75904862 0.76973945
 0.78043027 0.7911211  0.80181192 0.81250275 0.82319357 0.8338844
 0.84457522 0.85526605 0.86595688 0.8766477  0.88733853 0.89802935
 0.90872018 0.919411   0.93010183 0.94079266 0.95148348 0.96217431
 0.97286513 0.98355596 0.99424678 1.00493761 1.01562843 1.02631926
 1.03701009 1.04770091 1.05839174 1.06908256]"
6,"[0.0105744  0.02114879 0.03172319 0.04229759 0.05287198 0.06344638
 0.07402078 0.08459517 0.09516957 0.10574397 0.11631836 0.12689276
 0.13746716 0.14804156 0.15861595 0.16919035 0.17976475 0.19033914
 0.20091354 0.21148794 0.22206233 0.23263673 0.24321113 0.25378552
 0.26435992 0.27493432 0.28550871 0.29608311 0.30665751 0.3172319
 0.3278063  0.3383807  0.34895509 0.35952949 0.37010389 0.38067829
 0.39125268 0.40182708 0.41240148 0.42297587 0.43355027 0.44412467
 0.45469906 0.46527346 0.47584786 0.48642225 0.49699665 0.50757105
 0.51814544 0.52871984 0.53929424 0.54986863 0.56044303 0.57101743
 0.58159182 0.59216622 0.60274062 0.61331502 0.62388941 0.63446381
 0.64503821 0.6556126  0.666187   0.6767614  0.68733579 0.69791019
 0.70848459 0.71905898 0.72963338 0.74020778 0.75078217 0.76135657
 0.77193097 0.78250536 0.79307976 0.80365416 0.81422855 0.82480295
 0.83537735 0.84595175 0.85652614 0.86710054 0.87767494 0.88824933
 0.89882373 0.90939813 0.91997252 0.93054692 0.94112132 0.95169571
 0.96227011 0.97284451 0.9834189  0.9939933  1.0045677  1.01514209
 1.02571649 1.03629089 1.04686528 1.05743968]"
7,"[0.01053338 0.02106676 0.03160013 0.04213351 0.05266689 0.06320027
 0.07373364 0.08426702 0.0948004  0.10533378 0.11586715 0.12640053
 0.13693391 0.14746729 0.15800067 0.16853404 0.17906742 0.1896008
 0.20013418 0.21066755 0.22120093 0.23173431 0.24226769 0.25280106
 0.26333444 0.27386782 0.2844012  0.29493458 0.30546795 0.31600133
 0.32653471 0.33706809 0.34760146 0.35813484 0.36866822 0.3792016
 0.38973498 0.40026835 0.41080173 0.42133511 0.43186849 0.44240186
 0.45293524 0.46346862 0.474002   0.48453537 0.49506875 0.50560213
 0.51613551 0.52666889 0.53720226 0.54773564 0.55826902 0.5688024
 0.57933577 0.58986915 0.60040253 0.61093591 0.62146928 0.63200266
 0.64253604 0.65306942 0.6636028  0.67413617 0.68466955 0.69520293
 0.70573631 0.71626968 0.72680306 0.73733644 0.74786982 0.75840319
 0.76893657 0.77946995 0.79000333 0.80053671 0.81107008 0.82160346
 0.83213684 0.84267022 0.85320359 0.86373697 0.87427035 0.88480373
 0.8953371  0.90587048 0.91640386 0.92693724 0.93747062 0.94800399
 0.95853737 0.96907075 0.97960413 0.9901375  1.00067088 1.01120426
 1.02173764 1.03227102 1.04280439 1.05333777]"
8,"[0.01050194 0.02100388 0.03150582 0.04200776 0.0525097  0.06301164
 0.07351358 0.08401552 0.09451746 0.1050194  0.11552134 0.12602328
 0.13652523 0.14702717 0.15752911 0.16803105 0.17853299 0.18903493
 0.19953687 0.21003881 0.22054075 0.23104269 0.24154463 0.25204657
 0.26254851 0.27305045 0.28355239 0.29405433 0.30455627 0.31505821
 0.32556015 0.33606209 0.34656403 0.35706597 0.36756791 0.37806985
 0.3885718  0.39907374 0.40957568 0.42007762 0.43057956 0.4410815
 0.45158344 0.46208538 0.47258732 0.48308926 0.4935912  0.50409314
 0.51459508 0.52509702 0.53559896 0.5461009  0.55660284 0.56710478
 0.57760672 0.58810866 0.5986106  0.60911254 0.61961448 0.63011642
 0.64061837 0.65112031 0.66162225 0.67212419 0.68262613 0.69312807
 0.70363001 0.71413195 0.72463389 0.73513583 0.74563777 0.75613971
 0.76664165 0.77714359 0.78764553 0.79814747 0.80864941 0.81915135
 0.82965329 0.84015523 0.85065717 0.86115911 0.87166105 0.88216299
 0.89266494 0.90316688 0.91366882 0.92417076 0.9346727  0.94517464
 0.95567658 0.96617852 0.97668046 0.9871824  0.99768434 1.00818628
 1.01868822 1.02919016 1.0396921  1.05019404]"
9,"[0.0104613  0.0209226  0.03138391 0.04184521 0.05230651 0.06276781
 0.07322911 0.08369041 0.09415172 0.10461302 0.11507432 0.12553562
 0.13599692 0.14645822 0.15691953 0.16738083 0.17784213 0.18830343
 0.19876473 0.20922604 0.21968734 0.23014864 0.24060994 0.25107124
 0.26153254 0.27199385 0.28245515 0.29291645 0.30337775 0.31383905
 0.32430036 0.33476166 0.34522296 0.35568426 0.36614556 0.37660686
 0.38706817 0.39752947 0.40799077 0.41845207 0.42891337 0.43937467
 0.44983598 0.46029728 0.47075858 0.48121988 0.49168118 0.50214249
 0.51260379 0.52306509 0.53352639 0.54398769 0.55444899 0.5649103
 0.5753716  0.5858329  0.5962942  0.6067555  0.6172168  0.62767811
 0.63813941 0.64860071 0.65906201 0.66952331 0.67998462 0.69044592
 0.70090722 0.71136852 0.72182982 0.73229112 0.74275243 0.75321373
 0.76367503 0.77413633 0.78459763 0.79505893 0.80552024 0.81598154
 0.82644284 0.83690414 0.84736544 0.85782675 0.86828805 0.87874935
 0.88921065 0.89967195 0.91013325 0.92059456 0.93105586 0.94151716
 0.95197846 0.96243976 0.97290107 0.98336237 0.99382367 1.00428497
 1.01474627 1.02520757 1.03566888 1.04613018]"
