,Q
0,"[0.01115505 0.0223101  0.03346515 0.0446202  0.05577525 0.0669303
 0.07808534 0.08924039 0.10039544 0.11155049 0.12270554 0.13386059
 0.14501564 0.15617069 0.16732574 0.17848079 0.18963584 0.20079089
 0.21194593 0.22310098 0.23425603 0.24541108 0.25656613 0.26772118
 0.27887623 0.29003128 0.30118633 0.31234138 0.32349643 0.33465148
 0.34580652 0.35696157 0.36811662 0.37927167 0.39042672 0.40158177
 0.41273682 0.42389187 0.43504692 0.44620197 0.45735702 0.46851207
 0.47966711 0.49082216 0.50197721 0.51313226 0.52428731 0.53544236
 0.54659741 0.55775246 0.56890751 0.58006256 0.59121761 0.60237266
 0.61352771 0.62468275 0.6358378  0.64699285 0.6581479  0.66930295
 0.680458   0.69161305 0.7027681  0.71392315 0.7250782  0.73623325
 0.7473883  0.75854334 0.76969839 0.78085344 0.79200849 0.80316354
 0.81431859 0.82547364 0.83662869 0.84778374 0.85893879 0.87009384
 0.88124889 0.89240393 0.90355898 0.91471403 0.92586908 0.93702413
 0.94817918 0.95933423 0.97048928 0.98164433 0.99279938 1.00395443
 1.01510948 1.02626453 1.03741957 1.04857462 1.05972967 1.07088472
 1.08203977 1.09319482 1.10434987 1.11550492]"
1,"[0.01114219 0.02228439 0.03342658 0.04456877 0.05571097 0.06685316
 0.07799535 0.08913755 0.10027974 0.11142193 0.12256413 0.13370632
 0.14484851 0.15599071 0.1671329  0.1782751  0.18941729 0.20055948
 0.21170168 0.22284387 0.23398606 0.24512826 0.25627045 0.26741264
 0.27855484 0.28969703 0.30083922 0.31198142 0.32312361 0.3342658
 0.345408   0.35655019 0.36769238 0.37883458 0.38997677 0.40111896
 0.41226116 0.42340335 0.43454554 0.44568774 0.45682993 0.46797212
 0.47911432 0.49025651 0.5013987  0.5125409  0.52368309 0.53482529
 0.54596748 0.55710967 0.56825187 0.57939406 0.59053625 0.60167845
 0.61282064 0.62396283 0.63510503 0.64624722 0.65738941 0.66853161
 0.6796738  0.69081599 0.70195819 0.71310038 0.72424257 0.73538477
 0.74652696 0.75766915 0.76881135 0.77995354 0.79109573 0.80223793
 0.81338012 0.82452231 0.83566451 0.8468067  0.85794889 0.86909109
 0.88023328 0.89137548 0.90251767 0.91365986 0.92480206 0.93594425
 0.94708644 0.95822864 0.96937083 0.98051302 0.99165522 1.00279741
 1.0139396  1.0250818  1.03622399 1.04736618 1.05850838 1.06965057
 1.08079276 1.09193496 1.10307715 1.11421934]"
2,"[0.01112732 0.02225465 0.03338197 0.0445093  0.05563662 0.06676395
 0.07789127 0.0890186  0.10014592 0.11127325 0.12240057 0.1335279
 0.14465522 0.15578255 0.16690987 0.1780372  0.18916452 0.20029185
 0.21141917 0.2225465  0.23367382 0.24480115 0.25592847 0.2670558
 0.27818312 0.28931045 0.30043777 0.3115651  0.32269242 0.33381975
 0.34494707 0.3560744  0.36720172 0.37832905 0.38945637 0.4005837
 0.41171102 0.42283835 0.43396567 0.445093   0.45622032 0.46734765
 0.47847497 0.4896023  0.50072962 0.51185695 0.52298427 0.5341116
 0.54523892 0.55636625 0.56749357 0.5786209  0.58974822 0.60087555
 0.61200287 0.6231302  0.63425752 0.64538485 0.65651217 0.6676395
 0.67876682 0.68989415 0.70102147 0.7121488  0.72327612 0.73440345
 0.74553077 0.7566581  0.76778542 0.77891275 0.79004007 0.8011674
 0.81229472 0.82342205 0.83454937 0.8456767  0.85680402 0.86793135
 0.87905867 0.890186   0.90131332 0.91244065 0.92356797 0.9346953
 0.94582262 0.95694995 0.96807727 0.9792046  0.99033192 1.00145925
 1.01258657 1.0237139  1.03484122 1.04596855 1.05709587 1.0682232
 1.07935052 1.09047785 1.10160517 1.1127325 ]"
3,"[0.01111405 0.02222809 0.03334214 0.04445619 0.05557024 0.06668428
 0.07779833 0.08891238 0.10002642 0.11114047 0.12225452 0.13336856
 0.14448261 0.15559666 0.16671071 0.17782475 0.1889388  0.20005285
 0.21116689 0.22228094 0.23339499 0.24450904 0.25562308 0.26673713
 0.27785118 0.28896522 0.30007927 0.31119332 0.32230736 0.33342141
 0.34453546 0.35564951 0.36676355 0.3778776  0.38899165 0.40010569
 0.41121974 0.42233379 0.43344783 0.44456188 0.45567593 0.46678998
 0.47790402 0.48901807 0.50013212 0.51124616 0.52236021 0.53347426
 0.54458831 0.55570235 0.5668164  0.57793045 0.58904449 0.60015854
 0.61127259 0.62238663 0.63350068 0.64461473 0.65572878 0.66684282
 0.67795687 0.68907092 0.70018496 0.71129901 0.72241306 0.73352711
 0.74464115 0.7557552  0.76686925 0.77798329 0.78909734 0.80021139
 0.81132543 0.82243948 0.83355353 0.84466758 0.85578162 0.86689567
 0.87800972 0.88912376 0.90023781 0.91135186 0.9224659  0.93357995
 0.944694   0.95580805 0.96692209 0.97803614 0.98915019 1.00026423
 1.01137828 1.02249233 1.03360638 1.04472042 1.05583447 1.06694852
 1.07806256 1.08917661 1.10029066 1.1114047 ]"
4,"[0.0110925  0.02218501 0.03327751 0.04437002 0.05546252 0.06655502
 0.07764753 0.08874003 0.09983253 0.11092504 0.12201754 0.13311005
 0.14420255 0.15529505 0.16638756 0.17748006 0.18857256 0.19966507
 0.21075757 0.22185008 0.23294258 0.24403508 0.25512759 0.26622009
 0.27731259 0.2884051  0.2994976  0.31059011 0.32168261 0.33277511
 0.34386762 0.35496012 0.36605263 0.37714513 0.38823763 0.39933014
 0.41042264 0.42151514 0.43260765 0.44370015 0.45479266 0.46588516
 0.47697766 0.48807017 0.49916267 0.51025517 0.52134768 0.53244018
 0.54353269 0.55462519 0.56571769 0.5768102  0.5879027  0.5989952
 0.61008771 0.62118021 0.63227272 0.64336522 0.65445772 0.66555023
 0.67664273 0.68773524 0.69882774 0.70992024 0.72101275 0.73210525
 0.74319775 0.75429026 0.76538276 0.77647527 0.78756777 0.79866027
 0.80975278 0.82084528 0.83193778 0.84303029 0.85412279 0.8652153
 0.8763078  0.8874003  0.89849281 0.90958531 0.92067781 0.93177032
 0.94286282 0.95395533 0.96504783 0.97614033 0.98723284 0.99832534
 1.00941785 1.02051035 1.03160285 1.04269536 1.05378786 1.06488036
 1.07597287 1.08706537 1.09815788 1.10925038]"
5,"[0.01105299 0.02210598 0.03315897 0.04421196 0.05526495 0.06631794
 0.07737093 0.08842392 0.09947691 0.1105299  0.12158289 0.13263588
 0.14368887 0.15474186 0.16579485 0.17684784 0.18790083 0.19895382
 0.21000681 0.2210598  0.23211279 0.24316578 0.25421877 0.26527176
 0.27632474 0.28737773 0.29843072 0.30948371 0.3205367  0.33158969
 0.34264268 0.35369567 0.36474866 0.37580165 0.38685464 0.39790763
 0.40896062 0.42001361 0.4310666  0.44211959 0.45317258 0.46422557
 0.47527856 0.48633155 0.49738454 0.50843753 0.51949052 0.53054351
 0.5415965  0.55264949 0.56370248 0.57475547 0.58580846 0.59686145
 0.60791444 0.61896743 0.63002042 0.64107341 0.6521264  0.66317939
 0.67423238 0.68528537 0.69633836 0.70739135 0.71844434 0.72949733
 0.74055032 0.75160331 0.7626563  0.77370929 0.78476228 0.79581527
 0.80686825 0.81792124 0.82897423 0.84002722 0.85108021 0.8621332
 0.87318619 0.88423918 0.89529217 0.90634516 0.91739815 0.92845114
 0.93950413 0.95055712 0.96161011 0.9726631  0.98371609 0.99476908
 1.00582207 1.01687506 1.02792805 1.03898104 1.05003403 1.06108702
 1.07214001 1.083193   1.09424599 1.10529898]"
6,"[0.01103054 0.02206108 0.03309163 0.04412217 0.05515271 0.06618325
 0.07721379 0.08824434 0.09927488 0.11030542 0.12133596 0.1323665
 0.14339705 0.15442759 0.16545813 0.17648867 0.18751921 0.19854975
 0.2095803  0.22061084 0.23164138 0.24267192 0.25370246 0.26473301
 0.27576355 0.28679409 0.29782463 0.30885517 0.31988572 0.33091626
 0.3419468  0.35297734 0.36400788 0.37503843 0.38606897 0.39709951
 0.40813005 0.41916059 0.43019114 0.44122168 0.45225222 0.46328276
 0.4743133  0.48534385 0.49637439 0.50740493 0.51843547 0.52946601
 0.54049656 0.5515271  0.56255764 0.57358818 0.58461872 0.59564926
 0.60667981 0.61771035 0.62874089 0.63977143 0.65080197 0.66183252
 0.67286306 0.6838936  0.69492414 0.70595468 0.71698523 0.72801577
 0.73904631 0.75007685 0.76110739 0.77213794 0.78316848 0.79419902
 0.80522956 0.8162601  0.82729065 0.83832119 0.84935173 0.86038227
 0.87141281 0.88244336 0.8934739  0.90450444 0.91553498 0.92656552
 0.93759606 0.94862661 0.95965715 0.97068769 0.98171823 0.99274877
 1.00377932 1.01480986 1.0258404  1.03687094 1.04790148 1.05893203
 1.06996257 1.08099311 1.09202365 1.10305419]"
7,"[0.0110129  0.0220258  0.0330387  0.0440516  0.0550645  0.0660774
 0.0770903  0.0881032  0.0991161  0.11012899 0.12114189 0.13215479
 0.14316769 0.15418059 0.16519349 0.17620639 0.18721929 0.19823219
 0.20924509 0.22025799 0.23127089 0.24228379 0.25329669 0.26430959
 0.27532249 0.28633539 0.29734829 0.30836119 0.31937409 0.33038698
 0.34139988 0.35241278 0.36342568 0.37443858 0.38545148 0.39646438
 0.40747728 0.41849018 0.42950308 0.44051598 0.45152888 0.46254178
 0.47355468 0.48456758 0.49558048 0.50659338 0.51760628 0.52861918
 0.53963208 0.55064497 0.56165787 0.57267077 0.58368367 0.59469657
 0.60570947 0.61672237 0.62773527 0.63874817 0.64976107 0.66077397
 0.67178687 0.68279977 0.69381267 0.70482557 0.71583847 0.72685137
 0.73786427 0.74887717 0.75989007 0.77090296 0.78191586 0.79292876
 0.80394166 0.81495456 0.82596746 0.83698036 0.84799326 0.85900616
 0.87001906 0.88103196 0.89204486 0.90305776 0.91407066 0.92508356
 0.93609646 0.94710936 0.95812226 0.96913516 0.98014806 0.99116095
 1.00217385 1.01318675 1.02419965 1.03521255 1.04622545 1.05723835
 1.06825125 1.07926415 1.09027705 1.10128995]"
8,"[0.01101636 0.02203272 0.03304908 0.04406544 0.0550818  0.06609816
 0.07711452 0.08813088 0.09914724 0.1101636  0.12117996 0.13219632
 0.14321268 0.15422904 0.1652454  0.17626176 0.18727812 0.19829448
 0.20931084 0.2203272  0.23134355 0.24235991 0.25337627 0.26439263
 0.27540899 0.28642535 0.29744171 0.30845807 0.31947443 0.33049079
 0.34150715 0.35252351 0.36353987 0.37455623 0.38557259 0.39658895
 0.40760531 0.41862167 0.42963803 0.44065439 0.45167075 0.46268711
 0.47370347 0.48471983 0.49573619 0.50675255 0.51776891 0.52878527
 0.53980163 0.55081799 0.56183435 0.57285071 0.58386707 0.59488343
 0.60589979 0.61691615 0.62793251 0.63894887 0.64996523 0.66098159
 0.67199795 0.6830143  0.69403066 0.70504702 0.71606338 0.72707974
 0.7380961  0.74911246 0.76012882 0.77114518 0.78216154 0.7931779
 0.80419426 0.81521062 0.82622698 0.83724334 0.8482597  0.85927606
 0.87029242 0.88130878 0.89232514 0.9033415  0.91435786 0.92537422
 0.93639058 0.94740694 0.9584233  0.96943966 0.98045602 0.99147238
 1.00248874 1.0135051  1.02452146 1.03553782 1.04655418 1.05757054
 1.0685869  1.07960326 1.09061962 1.10163598]"
9,"[0.01101033 0.02202065 0.03303098 0.0440413  0.05505163 0.06606195
 0.07707228 0.0880826  0.09909293 0.11010325 0.12111358 0.1321239
 0.14313423 0.15414455 0.16515488 0.1761652  0.18717553 0.19818586
 0.20919618 0.22020651 0.23121683 0.24222716 0.25323748 0.26424781
 0.27525813 0.28626846 0.29727878 0.30828911 0.31929943 0.33030976
 0.34132008 0.35233041 0.36334073 0.37435106 0.38536138 0.39637171
 0.40738204 0.41839236 0.42940269 0.44041301 0.45142334 0.46243366
 0.47344399 0.48445431 0.49546464 0.50647496 0.51748529 0.52849561
 0.53950594 0.55051626 0.56152659 0.57253691 0.58354724 0.59455757
 0.60556789 0.61657822 0.62758854 0.63859887 0.64960919 0.66061952
 0.67162984 0.68264017 0.69365049 0.70466082 0.71567114 0.72668147
 0.73769179 0.74870212 0.75971244 0.77072277 0.7817331  0.79274342
 0.80375375 0.81476407 0.8257744  0.83678472 0.84779505 0.85880537
 0.8698157  0.88082602 0.89183635 0.90284667 0.913857   0.92486732
 0.93587765 0.94688797 0.9578983  0.96890862 0.97991895 0.99092928
 1.0019396  1.01294993 1.02396025 1.03497058 1.0459809  1.05699123
 1.06800155 1.07901188 1.0900222  1.10103253]"
